name,year
Casablanca ,1942
Seven Samurai (1954),1954
12 Angry Men (1957),1957
Psycho (1960),1960
Zulu (1964),1964
"The Good, The Bad and The Ugly (1966)",1966
2001: A Space Odyssey (1968),1968
A Clockwork Orange (1971),1971
The Godfather,1972
The Godfather: Part II (1974),1974
One Flew Over the Cuckoo’s Nest (1975),1975
Taxi Driver (1976),1976
Star Wars Episode IV: A New Hope (1977),1977
Alien (1979),1979
Apocalypse Now,1979
Star Wars Episode V: The Empire Strikes Back (1980),1980
The Elephant Man (1980),1980
Das Boot (1981),1981
Raiders of the Lost Ark ,1981
Blade Runner (1982),1982
Once Upon a Time in America (1984),1984
Back to the Future (1985),1985
Full Metal Jacket (1987),1987
Goodfellas (1990),1990
Reservoir Dogs (1992),1992
Jurassic Park (1993),1993
Schindler's List,1993
Forrest Gump (1994),1994
Leon (1994),1994
Pulp Fiction,1994
The Shawshank Redemption,1994
Braveheart (1995),1995
Seven (1995),1995
Trainspotting (1996),1996
Children of Heaven (1997),1997
Good Will Hunting (1997),1997
Saving Private Ryan (1998),1998
The Big Lebowski (1998),1998
American Beauty (1999),1999
Fight Club (1999),1999
The Green Mile ,1999
The Matrix (1999),1999
Gladiator,2000
Memento (2000),2000
Requiem for a Dream (2000),2000
X-Men (2000),2000
Amélie (2001),2001
Harry Potter and the Philosopher’s Stone (2001),2001
Shrek (2001),2001
The Lord of the Rings: The Fellowship of the Ring (2001),2001
Zoolander (2001),2001
City of God (2002),2002
The Lord of the Rings: The Two Towers (2002),2002
The Pianist,2002
Finding Nemo ,2003
"Monsters, Inc (2003)",2003
Oldboy (2003),2003
Pirates of the Caribbean: The Curse of the Black Pearl (2003),2003
The Lord of the Rings: The Return of the King (2003),2003
Downfall (2004),2004
Eternal Sunshine of the Spotless Mind (2004),2004
The Notebook,2004
Batman Begins (2005),2005
Little Miss Sunshine (2006),2006
Gran Torino ,2008
Quantum of Solace (2008),2008
The Dark Knight (2008),2008
WALL-E (2008),2008
Inglorious Basterds (2009),2009
Inception (2010),2010
Django Unchained (2012),2012
Moonrise Kingdom (2012),2012
The Dark Knight Rises (2012),2012
The Hunt (2012),2012
Nightcrawler (2014),2014
Fifty Shades of Grey ,2015
Spectre (2015),2015
Dangal (2016),2016
Dirty Grandpa (2016),2016
Your name. (2016),2016
Logan (2017),2017
"Three Billboards Outside Ebbing, Missouri (2017)",2017
If Beale Street Could Talk (2018),2018
1917 (2019),2019
"Extremely Wicked, Shockingly Evil and Vile (2019)",2019
Knives Out (2019),2019
Murder Mystery (2019),2019
The Lighthouse (2019),2019
